timestamp_s,rov_x,rov_y,rov_z,obstacle_count,max_obstacle_risk,most_dangerous_center_x,most_dangerous_bearing_rad,nominal_surge,nominal_sway,nominal_yaw_rate,safe_surge,safe_sway,safe_yaw_rate,planner_state,selected_side,debug_risk
3.109205,0.6721880400000001,0.0,0.0,3,0.7309701442718506,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.215063,0.6932576800000001,0.0,0.0,3,0.732140064239502,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.308565,0.7120368800000001,0.0,0.0,3,0.7334364652633667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.404851,0.73127094,0.0,0.0,3,0.7346194386482239,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.501143,0.75048,0.0,0.0,3,0.7358246445655823,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.613316,0.7729670400000002,0.0,0.0,3,0.7370445132255554,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.709561,0.7922047400000001,0.0,0.0,3,0.7384749054908752,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.805642,0.8114297000000001,0.0,0.0,3,0.7397112250328064,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
3.913004,0.8318015600000002,0.0,0.0,3,0.740943431854248,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.009298,0.8521258400000001,0.0,0.0,3,0.7423582673072815,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.104542,0.8713663600000001,0.0,0.0,3,0.743622362613678,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.208567,0.8921741600000002,0.0,0.0,3,0.7448877692222595,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.304047,0.9111020200000001,0.0,0.0,3,0.7462732195854187,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.416468,0.93034532,0.0,0.0,3,0.7475758790969849,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.506276,0.9527771400000001,0.0,0.0,3,0.7491068243980408,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.601182,0.97062282,0.0,0.0,3,0.7503411173820496,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.711773,0.9927087400000002,0.0,0.0,3,0.7518802285194397,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.806242,1.0116654,0.0,0.0,3,0.7532138228416443,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4.908361,1.0306004000000002,0.0,0.0,3,0.7545548677444458,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.009055,1.0521335200000002,0.0,0.0,3,0.7560115456581116,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.102631,1.0708931000000002,0.0,0.0,3,0.7574577331542969,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.206936,1.0905543800000002,0.0,0.0,3,0.7588360905647278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
